Course Code,Course Name,CRN,Type,Section,Time,Day,Instructor,Room Number,Building
PHYS 325,Classical Mechanics I,32694,Lecture,A,12:00PM - 01:20PM,TR,"Witek, H",151,Loomis Laboratory
PHYS 325,Classical Mechanics I,60434,Discussion/ Recitation,D0,03:00PM - 03:50PM,M,,4018,Campus Instructional Facility
PHYS 325,Classical Mechanics I,32687,Discussion/ Recitation,D1,04:00PM - 04:50PM,M,,4018,Campus Instructional Facility
PHYS 325,Classical Mechanics I,32688,Discussion/ Recitation,D2,05:00PM - 05:50PM,M,,4018,Campus Instructional Facility
PHYS 325,Classical Mechanics I,32691,Discussion/ Recitation,D3,06:00PM - 06:50PM,M,,4018,Campus Instructional Facility
PHYS 325,Classical Mechanics I,56627,Discussion/ Recitation,D4,07:00PM - 07:50PM,M,,4018,Campus Instructional Facility
PHYS 326,Classical Mechanics II,32751,Lecture,A,11:00AM - 12:20PM,TR,"Golding, I",2055,Sidney Lu Mech Engr Bldg
PHYS 326,Classical Mechanics II,61383,Discussion/ Recitation,D0,05:00PM - 05:50PM,R,,35,Loomis Laboratory
PHYS 326,Classical Mechanics II,32737,Discussion/ Recitation,D1,06:00PM - 06:50PM,R,,0036,Campus Instructional Facility
PHYS 326,Classical Mechanics II,32741,Discussion/ Recitation,D2,07:00PM - 07:50PM,R,,0036,Campus Instructional Facility
PHYS 329,Atmospheric Dynamics I,55016,Lecture,A,12:30PM - 01:50PM,TR,"Graber, MSriver, R",1071,Natural History Building
PHYS 370,Introduction to Quantum Information and Computing,77225,Lecture,A,10:00AM - 11:20AM,MW,"Covey, J",147,Armory
PHYS 394,Pedagogy and Teaching Physics for Learning Assistants,76338,Lecture-Discussion,LA1,03:30PM - 04:50PM,T,"Lundsgaard, M",222,Loomis Laboratory
PHYS 394,Pedagogy and Teaching Physics for Learning Assistants,76339,Lecture-Discussion,LA2,03:30PM - 04:50PM,T,,1043,Sidney Lu Mech Engr Bldg
PHYS 394,Pedagogy and Teaching Physics for Learning Assistants,76337,Lecture-Discussion,LAD,05:00PM - 06:20PM,R,,276,Loomis Laboratory
PHYS 398,Sophomore/Junior Special Topics in Physics,76433,Lecture-Discussion,DAP,10:30AM - 11:50AM,MW,"Hooberman, BSickles, A",276,Loomis Laboratory
PHYS 401,Classical Physics Lab,32710,Lecture,A,03:30PM - 04:20PM,M,"Burkova, I",222,Loomis Laboratory
PHYS 401,Classical Physics Lab,32704,Laboratory,L1,01:00PM - 04:50PM,T,,6103,Engineering Sciences Building
PHYS 401,Classical Physics Lab,32707,Laboratory,L2,01:00PM - 04:50PM,W,,6103,Engineering Sciences Building
PHYS 401,Classical Physics Lab,32708,Laboratory,L3,08:00AM - 11:50AM,R,,6103,Engineering Sciences Building
PHYS 401,Classical Physics Lab,60253,Laboratory,L4,01:00PM - 04:50PM,R,,6103,Engineering Sciences Building
PHYS 402,Light,33052,Lecture,AA,11:00AM - 12:20PM,MW,"Cohen, O",222,Loomis Laboratory
PHYS 402,Light,47625,Lecture,BB,11:00AM - 12:20PM,MW,"Cohen, O",222,Loomis Laboratory
PHYS 402,Light,32781,Laboratory,BL1,09:00AM - 11:50AM,T,,6107,Engineering Sciences Building
PHYS 402,Light,32782,Laboratory,BL2,02:00PM - 04:50PM,W,,6107,Engineering Sciences Building
PHYS 402,Light,70731,Laboratory,BL3,02:00PM - 04:50PM,R,,6107,Engineering Sciences Building
PHYS 403,Modern Experimental Physics,30674,Laboratory,A,01:00PM - 04:50PM,TR,"Colla, ELorenz, V",5105,Engineering Sciences Building
PHYS 407,Experimental Biological Physics,79731,Laboratory,A,01:00PM - 04:50PM,TR,"Denos, SKim, S",4122,Engineering Sciences Building
PHYS 419,"Space, Time, and Matter-ACP",34926,Lecture,A,09:30AM - 10:50AM,TR,"Weaver, C",123,David Kinley Hall
PHYS 419,"Space, Time, and Matter-ACP",41220,Lecture,G,09:30AM - 10:50AM,TR,"Weaver, C",123,David Kinley Hall
PHYS 420,"Space, Time, and Matter",45795,Lecture,A,09:30AM - 10:50AM,TR,"Weaver, C",123,David Kinley Hall
PHYS 427,Thermal & Statistical Physics,30681,Lecture,A,11:00AM - 12:20PM,MW,"Shelton, J",136,Loomis Laboratory
PHYS 427,Thermal & Statistical Physics,64574,Discussion/ Recitation,D0,05:00PM - 05:50PM,T,,0018,Campus Instructional Facility
PHYS 427,Thermal & Statistical Physics,64575,Discussion/ Recitation,D1,06:00PM - 06:50PM,T,,0036,Campus Instructional Facility
PHYS 427,Thermal & Statistical Physics,64576,Discussion/ Recitation,D2,07:00PM - 07:50PM,T,,0018,Campus Instructional Facility
PHYS 427,Thermal & Statistical Physics,64577,Discussion/ Recitation,D3,08:00PM - 08:50PM,T,,0018,Campus Instructional Facility
PHYS 435,Electromagnetic Fields I,32763,Lecture,A,09:00AM - 09:50AM,MWF,"Hooberman, B",151,Loomis Laboratory
PHYS 435,Electromagnetic Fields I,61384,Discussion/ Recitation,D0,04:00PM - 04:50PM,M,,4036,Campus Instructional Facility
PHYS 435,Electromagnetic Fields I,32757,Discussion/ Recitation,D1,05:00PM - 05:50PM,M,,4036,Campus Instructional Facility
PHYS 435,Electromagnetic Fields I,32760,Discussion/ Recitation,D2,06:00PM - 06:50PM,M,,4036,Campus Instructional Facility
PHYS 435,Electromagnetic Fields I,60046,Discussion/ Recitation,D3,07:00PM - 07:50PM,M,,4036,Campus Instructional Facility
PHYS 436,Electromagnetic Fields II,32773,Lecture,A,09:00AM - 09:50AM,MWF,"Kou, A",144,Loomis Laboratory
PHYS 436,Electromagnetic Fields II,61385,Discussion/ Recitation,D0,04:00PM - 04:50PM,T,,1038,Campus Instructional Facility
PHYS 436,Electromagnetic Fields II,32766,Discussion/ Recitation,D1,05:00PM - 05:50PM,T,,2025,Campus Instructional Facility
PHYS 436,Electromagnetic Fields II,32768,Discussion/ Recitation,D2,06:00PM - 06:50PM,T,,0018,Campus Instructional Facility
PHYS 485,Atomic Phys & Quantum Theory,30685,Lecture,A,02:00PM - 03:20PM,MW,"Filippini, J",158,Loomis Laboratory
PHYS 486,Quantum Physics I,32793,Lecture,A,09:30AM - 10:50AM,TR,"Pfaff, W",2100,Sidney Lu Mech Engr Bldg
PHYS 486,Quantum Physics I,61942,Discussion/ Recitation,D0,03:00PM - 04:20PM,R,,136,Loomis Laboratory
PHYS 486,Quantum Physics I,47769,Discussion/ Recitation,D1,04:30PM - 05:50PM,R,,139,Loomis Laboratory
PHYS 486,Quantum Physics I,32784,Discussion/ Recitation,D2,06:00PM - 07:20PM,R,,0018,Campus Instructional Facility
