Subject,Course Id,Name,Section Code,Start Date,End Date,Type,Start,End,Days,Room Number,Building,Instructors
ACCY,202,Accounting and Accountancy II,AD4,2024-08-26Z,2024-12-11Z,Discussion/Recitation,11:00 AM,11:50 AM,F,3063,Business Instructional Fac,[]
ACCY,202,Accounting and Accountancy II,AD5,2024-08-26Z,2024-12-11Z,Discussion/Recitation,12:00 PM,12:50 PM,F,3063,Business Instructional Fac,[]
ACCY,202,Accounting and Accountancy II,AD7,2024-08-26Z,2024-12-11Z,Discussion/Recitation,09:00 AM,09:50 AM,F,2007,Business Instructional Fac,[]
ACCY,202,Accounting and Accountancy II,AD8,2024-08-26Z,2024-12-11Z,Discussion/Recitation,08:00 AM,08:50 AM,F,2007,Business Instructional Fac,[]
ACCY,202,Accounting and Accountancy II,AD9,2024-08-26Z,2024-12-11Z,Discussion/Recitation,01:00 PM,01:50 PM,F,1025,Business Instructional Fac,[]
ACCY,202,Accounting and Accountancy II,ADA,2024-08-26Z,2024-12-11Z,Discussion/Recitation,02:00 PM,02:50 PM,F,1025,Business Instructional Fac,[]
ACCY,202,Accounting and Accountancy II,AL1,2024-08-26Z,2024-12-11Z,Lecture,02:00 PM,03:20 PM,TR,141,Wohlers Hall,[]
ACCY,202,Accounting and Accountancy II,AL2,2024-08-26Z,2024-12-11Z,Lecture,03:30 PM,04:50 PM,TR,3001,Business Instructional Fac,[]
ACCY,301,Atg Measurement & Disclosure,AE1,2024-08-26Z,2024-12-11Z,Lecture-Discussion,08:00 AM,09:20 AM,MW,2001,Business Instructional Fac,[]
ACCY,301,Atg Measurement & Disclosure,AE2,2024-08-26Z,2024-12-11Z,Lecture-Discussion,09:30 AM,10:50 AM,MW,2001,Business Instructional Fac,[]
ACCY,301,Atg Measurement & Disclosure,AE3,2024-08-26Z,2024-12-11Z,Lecture-Discussion,11:00 AM,12:20 PM,MW,1049,Business Instructional Fac,[]
ACCY,301,Atg Measurement & Disclosure,AE4,2024-08-26Z,2024-12-11Z,Lecture-Discussion,03:30 PM,04:50 PM,MW,2005,Business Instructional Fac,[]
ACCY,301,Atg Measurement & Disclosure,AE6,2024-08-26Z,2024-12-11Z,Lecture-Discussion,12:30 PM,01:50 PM,MW,1049,Business Instructional Fac,[]
ACCY,301,Atg Measurement & Disclosure,AE8,2024-08-26Z,2024-12-11Z,Lecture-Discussion,09:30 AM,10:50 AM,MW,1049,Business Instructional Fac,[]
ACCY,301,Atg Measurement & Disclosure,AEB,2024-08-26Z,2024-12-11Z,Lecture-Discussion,02:00 PM,03:20 PM,MW,2005,Business Instructional Fac,[]
ACCY,302,Decision Making for Atg,AE2,2024-08-26Z,2024-12-11Z,Lecture-Discussion,09:30 AM,10:50 AM,TR,2001,Business Instructional Fac,[]
ACCY,302,Decision Making for Atg,AE3,2024-08-26Z,2024-12-11Z,Lecture-Discussion,03:30 PM,04:50 PM,TR,3003,Business Instructional Fac,[]
ACCY,302,Decision Making for Atg,AE4,2024-08-26Z,2024-12-11Z,Lecture-Discussion,11:00 AM,12:20 PM,TR,2005,Business Instructional Fac,[]
ACCY,302,Decision Making for Atg,AE5,2024-08-26Z,2024-12-11Z,Lecture-Discussion,09:30 AM,10:50 AM,TR,2005,Business Instructional Fac,[]
ACCY,302,Decision Making for Atg,AE8,2024-08-26Z,2024-12-11Z,Lecture-Discussion,08:00 AM,09:20 AM,TR,2005,Business Instructional Fac,[]
ACCY,302,Decision Making for Atg,AEA,2024-08-26Z,2024-12-11Z,Lecture-Discussion,02:00 PM,03:20 PM,TR,3003,Business Instructional Fac,[]
ACCY,302,Decision Making for Atg,AY1,2024-08-26Z,2024-12-11Z,Lecture,05:00 PM,05:50 PM,M,1001,Business Instructional Fac,[]
ACCY,303,Accounting Institutions and Regulation,AE2,2024-08-26Z,2024-12-11Z,Lecture-Discussion,09:30 AM,10:50 AM,MW,166,Wohlers Hall,[]
ACCY,303,Accounting Institutions and Regulation,AE3,2024-08-26Z,2024-12-11Z,Lecture-Discussion,11:00 AM,12:20 PM,MW,166,Wohlers Hall,[]
ACCY,303,Accounting Institutions and Regulation,AE4,2024-08-26Z,2024-12-11Z,Lecture-Discussion,12:30 PM,01:50 PM,MW,166,Wohlers Hall,[]
ACCY,303,Accounting Institutions and Regulation,AE5,2024-08-26Z,2024-12-11Z,Lecture-Discussion,02:00 PM,03:20 PM,MW,166,Wohlers Hall,[]
ACCY,303,Accounting Institutions and Regulation,AE6,2024-08-26Z,2024-12-11Z,Lecture-Discussion,03:30 PM,04:50 PM,MW,166,Wohlers Hall,[]
ACCY,303,Accounting Institutions and Regulation,AE7,2024-08-26Z,2024-12-11Z,Lecture-Discussion,11:00 AM,12:20 PM,MW,130,Wohlers Hall,[]
ACCY,304,Accounting Control Systems,AE1,2024-08-26Z,2024-12-11Z,Lecture-Discussion,08:00 AM,09:20 AM,TR,1049,Business Instructional Fac,[]
ACCY,304,Accounting Control Systems,AE2,2024-08-26Z,2024-12-11Z,Lecture-Discussion,09:30 AM,10:50 AM,TR,1049,Business Instructional Fac,[]
ACCY,304,Accounting Control Systems,AE3,2024-08-26Z,2024-12-11Z,Lecture-Discussion,12:30 PM,01:50 PM,TR,2001,Business Instructional Fac,[]
ACCY,304,Accounting Control Systems,AE4,2024-08-26Z,2024-12-11Z,Lecture-Discussion,11:00 AM,12:20 PM,TR,2001,Business Instructional Fac,[]
ACCY,304,Accounting Control Systems,AE5,2024-08-26Z,2024-12-11Z,Lecture-Discussion,02:00 PM,03:20 PM,TR,2001,Business Instructional Fac,[]
ACCY,312,Principles of Taxation,A,2024-08-26Z,2024-12-11Z,Lecture-Discussion,12:30 PM,01:50 PM,MW,3001,Business Instructional Fac,[]
ACCY,312,Principles of Taxation,C,2024-08-26Z,2024-12-11Z,Lecture-Discussion,02:00 PM,03:20 PM,MW,3001,Business Instructional Fac,[]
ACCY,312,Principles of Taxation,D,2024-08-26Z,2024-12-11Z,Lecture-Discussion,03:30 PM,04:50 PM,MW,3001,Business Instructional Fac,[]
ACCY,312,Principles of Taxation,E,2024-08-26Z,2024-12-11Z,Lecture-Discussion,09:30 AM,10:50 AM,MW,3003,Business Instructional Fac,[]
ACCY,312,Principles of Taxation,F,2024-08-26Z,2024-12-11Z,Lecture-Discussion,08:00 AM,09:20 AM,MW,3003,Business Instructional Fac,[]
ACCY,312,Principles of Taxation,G,2024-08-26Z,2024-12-11Z,Lecture-Discussion,11:00 AM,12:20 PM,MW,3003,Business Instructional Fac,[]
ACCY,321,Principles of Public Policy,WA,2024-08-26Z,2024-12-11Z,Lecture-Discussion,05:30 PM,07:30 PM,W,ARR,Washington DC,"['Howell, C']"
ACCY,375,Career Pathways in Accountancy,CPA,2024-08-26Z,2024-12-11Z,Lecture-Discussion,05:00 PM,05:50 PM,T,3009,Business Instructional Fac,[]
ACCY,405,Assurance and Attestation,AE1,2024-08-26Z,2024-12-11Z,Lecture-Discussion,09:30 AM,10:50 AM,MW,2005,Business Instructional Fac,[]
ACCY,405,Assurance and Attestation,AE2,2024-08-26Z,2024-12-11Z,Lecture-Discussion,11:00 AM,12:20 PM,MW,3001,Business Instructional Fac,[]
ACCY,405,Assurance and Attestation,AE3,2024-08-26Z,2024-12-11Z,Lecture-Discussion,11:00 AM,12:20 PM,MW,2005,Business Instructional Fac,[]
ACCY,405,Assurance and Attestation,AE4,2024-08-26Z,2024-12-11Z,Lecture-Discussion,02:00 PM,03:20 PM,MW,2001,Business Instructional Fac,[]
ACCY,405,Assurance and Attestation,AE5,2024-08-26Z,2024-12-11Z,Lecture-Discussion,03:30 PM,04:50 PM,MW,2001,Business Instructional Fac,[]
ACCY,405,Assurance and Attestation,AE6,2024-08-26Z,2024-12-11Z,Lecture-Discussion,08:00 AM,09:20 AM,MW,2005,Business Instructional Fac,[]
ACCY,405,Assurance and Attestation,AY1,2024-08-26Z,2024-12-11Z,Lecture,04:00 PM,05:20 PM,R,1001,Business Instructional Fac,[]
ACCY,410,Advanced Financial Reporting,A3,2024-08-26Z,2024-12-11Z,Lecture-Discussion,08:00 AM,09:20 AM,MW,2043,Business Instructional Fac,[]
ACCY,410,Advanced Financial Reporting,A4,2024-08-26Z,2024-12-11Z,Lecture-Discussion,08:00 AM,09:20 AM,MW,2043,Business Instructional Fac,[]
ACCY,410,Advanced Financial Reporting,B3,2024-08-26Z,2024-12-11Z,Lecture-Discussion,09:30 AM,10:50 AM,TR,3003,Business Instructional Fac,[]
ACCY,410,Advanced Financial Reporting,B4,2024-08-26Z,2024-12-11Z,Lecture-Discussion,09:30 AM,10:50 AM,TR,3003,Business Instructional Fac,[]
ACCY,410,Advanced Financial Reporting,C3,2024-08-26Z,2024-12-11Z,Lecture-Discussion,11:00 AM,12:20 PM,TR,3063,Business Instructional Fac,[]
ACCY,410,Advanced Financial Reporting,C4,2024-08-26Z,2024-12-11Z,Lecture-Discussion,11:00 AM,12:20 PM,TR,3063,Business Instructional Fac,[]
ACCY,410,Advanced Financial Reporting,D3,2024-08-26Z,2024-12-11Z,Lecture-Discussion,11:00 AM,12:20 PM,MW,2011,Business Instructional Fac,[]
ACCY,410,Advanced Financial Reporting,D4,2024-08-26Z,2024-12-11Z,Lecture-Discussion,11:00 AM,12:20 PM,MW,2011,Business Instructional Fac,[]
ACCY,410,Advanced Financial Reporting,E3,2024-08-26Z,2024-12-11Z,Lecture-Discussion,03:30 PM,04:50 PM,MW,1025,Business Instructional Fac,[]
ACCY,410,Advanced Financial Reporting,E4,2024-08-26Z,2024-12-11Z,Lecture-Discussion,03:30 PM,04:50 PM,MW,1025,Business Instructional Fac,[]
ACCY,451,Advanced Income Tax Problems,A3,2024-08-26Z,2024-12-11Z,Lecture-Discussion,11:00 AM,12:20 PM,TR,1049,Business Instructional Fac,[]
ACCY,451,Advanced Income Tax Problems,A4,2024-08-26Z,2024-12-11Z,Lecture-Discussion,11:00 AM,12:20 PM,TR,1049,Business Instructional Fac,[]
ACCY,451,Advanced Income Tax Problems,B3,2024-08-26Z,2024-12-11Z,Lecture-Discussion,03:30 PM,04:50 PM,TR,2001,Business Instructional Fac,[]
ACCY,451,Advanced Income Tax Problems,B4,2024-08-26Z,2024-12-11Z,Lecture-Discussion,03:30 PM,04:50 PM,TR,2001,Business Instructional Fac,[]
ACCY,451,Advanced Income Tax Problems,C3,2024-08-26Z,2024-12-11Z,Lecture-Discussion,02:00 PM,03:20 PM,TR,2063,Business Instructional Fac,[]
ACCY,451,Advanced Income Tax Problems,C4,2024-08-26Z,2024-12-11Z,Lecture-Discussion,02:00 PM,03:20 PM,TR,2063,Business Instructional Fac,[]
